full_address,nicks_with_at,email,name,phone_mobile,phone_landline,snils,passport,birthdate,inn,oms,age,mse,birth_certificate,driver_license,full_company_name
"Ростовская область, р-н. Шолоховский, ст-ца. Вешенская, ул. Ленина, д. 54",@felimimimi,1966gv@bk.ru,Жуков Владимир Владимирович,плюс семь девятьсот пятьдесят четыре семьдесят семь триста пятьдесят четыре сорок три,восемьсот девяносто три четыреста два,семьдесят три тысячи двести пятьдесят три девяносто пять сорок восемь,шесть шесть один ноль ноль ноль три два два девять,двадцать три июня две тысячи двадцать три года,восемьсот семь восемьсот пятьдесят восемьсот пятьдесят три шестьсот семьдесят один,восемь тысяч шестьсот два двести один пятьсот девяносто восемь триста восемьдесят,сорок шесть,пять тысяч двести двадцать шесть миллионов девятьсот восемьдесят одна тысяча пятьсот семь,пять тире дэ а пять один ноль пять пять ноль,пять тысяч семьсот девяносто четыре четыреста семьдесят восемь пятьдесят шесть,"ООО ""Компания Дипломат"""
"Нижегородская область, г. Нижний Новгород, ул. Толбухина, д. 6",@are_u_cereal,1966snp@gmail.com,Сабуров Н.П.,восемь девятьсот шестьдесят девять тридцать четыре восемьсот тридцать один восемь,шестьдесят два сорок три семьдесят,шестьсот сорок тысяч двести девяносто девять сто пятьдесят шесть девяносто семь,три восемь два шесть шесть три ноль один два два,девятнадцать марта одна тысяча девятьсот пятьдесят семь года,триста шестьдесят шесть четыреста восемьдесят девять сто четырнадцать пятьсот одиннадцать,четыре тысячи шестьсот один девятьсот семьдесят три восемьдесят семьсот тридцать четыре сто шестьдесят девять,один,девяносто девять двадцать два сто шестьдесят девять девяносто шесть восемьдесят,два тире ща эс шестьдесят семь двадцать два пятнадцать,четырнадцать один двадцать один сорок восемь сорок три,Индивидуальный предприниматель ТКАЧЕНКО ЮЛИЯ АЛЕКСАНДРОВНА
"Кемеровская область, г. Осинники, ул. Дзержинского, д. 31",@Diobane,1967-kav@list.ru,Кохия Александр Владимирович,восемь девять один два девять семь девять девять девять четыре девять,девятьсот восемьдесят один семьсот девять,два девять два ноль четыре девять три четыре семь восемь три,тридцать четыре четыре пятьсот три семьсот восемьдесят один,девятнадцать августа одна тысяча девятьсот девяносто шесть года,сорок четыре семьдесят пять двенадцать девяносто один восемьдесят три девяносто два,один девять ноль два ноль один четыре ноль девять шесть три девять восемь шесть один восемь,шестьдесят три,семь тысяч двадцать один пять миллионов триста девяносто пять тысяч девятьсот сорок восемь,пять тире у дэ два пятьдесят один восемьдесят два,восемь тысяч шестьсот двадцать один пятьсот шестьдесят шесть семьсот девяносто один,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСТОРАН РИВЬЕРА-СИТИ"""
"Новосибирская область, г. Новосибирск, ул. Высоцкого, д. 40/2",@MEstudios1983,1967omis@bk.ru,Урсул Ксения Александровна,семь девятьсот девяносто восемь двадцать четыреста семьдесят восемь двадцать семь,девяносто восемь девяносто четыре двадцать семь,триста семьдесят тысяч сто девятнадцать семьсот семьдесят шесть семьдесят,пять четыре один один восемь один семь один восемь восемь,шестнадцать июля одна тысяча девятьсот пятьдесят два года,три шесть ноль девять один шесть пять ноль восемь один четыре один,сто один девятьсот пятьдесят шесть семьдесят семь пятьдесят девять триста восемнадцать,шестьдесят один,пять один ноль шесть пять семь три четыре три один девять,шесть тире вэ дэ три ноль пять девять два ноль,тридцать шесть тридцать семьдесят пять семьдесят пять девяносто восемь,"ЮРЬЕВ-ПОЛЬСКИЙ ФИЛИАЛ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ВЛАДИМИРСКОЙ ОБЛАСТИ ""ВЛАДИМИРСКИЙ ЛЕСХОЗ"""
"Ханты-Мансийский Автономный округ - Югра, г. Сургут, ул. Саянская, д. 6",@seymourbutzz,1967sikor@mail.ru,Переверзева Оксана Анатольевна,плюс семь девятьсот семьдесят восемь семьдесят восемьсот двадцать девять семьдесят три,один семь четыре пять три восемь,восемьдесят три триста тридцать пять двести семьдесят семь шестьдесят четыре,пятнадцать один восемьдесят два два тридцать девять,два мая одна тысяча девятьсот шестьдесят три года,сорок семь девяносто восемь шестьдесят два восемьдесят девять пятьдесят шесть девяносто восемь,три ноль ноль один девять семь шесть ноль один ноль девять шесть шесть семь девять пять,два,ноль восемь один шесть четыре шесть два девять четыре один один,шесть тире эс пэ семьсот пятьдесят три двести девяносто три,шесть тысяч двести четыре восемьсот сорок семь пятьсот пятьдесят два,"Общество с ограниченной ответственностью ""База снабжения"""
"Псковская область, г. Великие Луки, ул. Корниенко, д. 2/5",@gertjanvegter86,1972t2009@rambler.ru,Субботина Татьяна Сергеевна,восемь девять два два один семь девять семь шесть шесть семь,пятьсот десять сто пятьдесят четыре,тридцать пять четыреста двести пятьдесят пять три,девяносто четыре пятнадцать восемьсот пятьдесят шесть пятьсот восемьдесят шесть,двадцать четыре августа одна тысяча девятьсот восемьдесят семь года,шестьдесят один семьдесят семьдесят пятьдесят восемь восемьдесят пять пятьдесят,сто восемьдесят сто девяносто семь два шестьсот семьдесят восемь три девять,девятнадцать,девять восемь один три шесть семь три один семь один восемь,два тире у эс триста двадцать три девятьсот девять,пятнадцать семьдесят два сто двадцать шесть четыреста пятьдесят один,Индивидуальный предприниматель ЩЕРБАКОВ АНДРЕЙ ГЕННАДЬЕВИЧ
"Свердловская область, г. Серов, ул. Ферросплавщиков, д. 10",@subliminalsnail,1973iris@mail.ru,Красножен Милена Андреевна,семь девять ноль ноль четыре три шесть восемь два пять четыре,три три четыре два шесть три,девятьсот четыре тысячи сто двадцать девять четыреста восемьдесят пять девяносто три,пятьдесят восемнадцать шестьсот десять восемьсот тридцать три,пятнадцать мая две тысячи четырнадцать года,один один один пять два семь ноль ноль пять два семь семь,двести шестьдесят один сто девяносто пять пять сто шестьдесят пять семьдесят два сорок,пятьдесят пять,восемьдесят шесть три двести семьдесят четыре девяносто семь семьдесят один,десять тире ша о четыре два пять семь шесть пять,семь семь семь три четыре пять семь семь три ноль,Индивидуальный предприниматель БУДИЛОВ ОЛЕГ ГЕННАДЬЕВИЧ
"Псковская область, г. Псков, ул. Алексея Алехина, д. 4",@Cawson,1976.pankin@list.ru,Панькин Евгений Владимирович,плюс семь девятьсот два три сто двадцать пять шесть,сорок девять двадцать один сорок пять,пятьсот восемьдесят девять пятьсот тридцать три девяносто семь тысяч четыреста семьдесят два,шесть тысяч семьсот двадцать два шестьсот семьдесят восемь триста семьдесят девять,девятнадцать октября две тысячи тринадцать года,шестьдесят один девяносто шесть семьдесят семь тридцать восемьдесят восемь пятьдесят семь,восемьсот восемьдесят сто девяносто семь пятьсот семь семьсот двадцать семь семьдесят один тридцать два,шестьдесят восемь,шесть тысяч семьсот восемь девять миллионов девятьсот тысяч четыреста восемьдесят пять,семь тире эль е два четыре один семь семь семь,четыре один один семь шесть девять три ноль один один,Индивидуальный предприниматель Головин Анатолий Анатольевич
"Кемеровская область, г. Ленинск-Кузнецкий, ул. Советская, д. 119",@donkim1153,1979_mart@mail.ru,Степаненко Анастасия Михайловна,восемь девятьсот четыре пятьдесят восемь шестьсот тридцать восемьдесят три,три четыре восемь семь три восемь,один девять семь пять семь восемь шесть девять один шесть два,шестьдесят семь ноль восемьдесят семьдесят пять девяносто шесть,одиннадцать ноября одна тысяча девятьсот девяносто один года,шестьдесят сорок восемь три сорок восемь восемь девять,семьсот один девять тысяч пятьсот десять шесть тысяч шестьсот шестьдесят пять четыре тысячи семьсот шестьдесят восемь,сорок один,три тысячи четыреста девятнадцать восемь миллионов пятьсот семьдесят шесть тысяч триста пятьдесят девять,семь тире бэ ка двенадцать девяносто семь тридцать четыре,двадцать два тридцать два шестьдесят пятьдесят четыре пятьдесят два,Индивидуальный предприниматель СИДОРОВА ЕЛЕНА ВЛАДИМИРОВНА
"Респ. Марий Эл, г. Волжск, ул. Орджоникидзе, д. 6, к. 1",@pryory,1980LOA@MAIL.RU,Лоскутова Ольга Анатольевна,семь девятьсот пятьдесят девять сто восемьдесят три тридцать два пятьдесят пять,сорок шесть четыре одиннадцать,двести восемьдесят шесть триста четыре пятьдесят семь тысяч двести восемьдесят восемь,двадцать два три девять девять сорок три,ноль три один ноль два ноль ноль четыре,шесть восемь три три четыре четыре восемь ноль четыре семь девять шесть,одна тысяча двенадцать двадцать пять сто тринадцать двадцать пять пятьсот двадцать девять,двадцать три,восемьдесят три шестнадцать четыреста шестнадцать девяносто восемь двадцать восемь,два тире дэ цэ пятьсот двадцать один сто семьдесят четыре,две тысячи пятьсот двадцать семь триста пятьдесят два триста девяносто два,Объединенный жилищно-эксплуатационный кооператив № 1
"Воронежская область, г. Воронеж, ул. Пеше-Стрелецкая, д. 141",@Bojong,1980mvp@mail.ru,Макеев Владимир Петрович,семь девять семь пять пять восемь девять ноль три три один,девяносто два тридцать девять восемьдесят два,четыреста тринадцать тысяч двести двадцать один пятьсот десять семь,семьдесят три один восемьсот двадцать семь четыреста сорок семь,семь февраля одна тысяча девятьсот шестьдесят года,ноль пять восемь один пять два четыре два один семь семь девять,триста девяносто сто девяносто шесть семьсот девять девяносто восемь девяносто восемь сорок семь,пятьдесят семь,четыре девять два один ноль ноль один три ноль девять девять,двенадцать тире ы бэ девятьсот шестнадцать девятьсот три,пятьдесят семь пятьдесят шесть сорок четыре шестьдесят семь двадцать,"Общество с ограниченной ответственностью ""Путешествие пробирки"""
"Вологодская область, р-н. Грязовецкий, пгт. Вохтога, ул. Северная, д. 9",@__JcK__,1980shkola3@mail.ru,Филиппова Светлана Александровна,восемь девятьсот двадцать три двадцать четыре четыреста девяносто три девяносто восемь,восемь шесть один один шесть четыре,шестьсот сорок два четыреста семнадцать девяносто семь тысяч девятьсот пять,восемьдесят ноль триста тридцать шесть сто восемнадцать,двадцать шесть мая одна тысяча девятьсот девяносто восемь года,восемь три один семь шесть девять восемь шесть ноль ноль девять девять,пять тысяч девятьсот один девять тысяч семьсот девяносто девять тысяч шестьсот двадцать два девятьсот девяносто один,восемьдесят четыре,семь один два четыре один четыре четыре восемь один девять девять,четыре тире жэ пэ семьсот сорок девять триста сорок девять,одна тысяча сто шестьдесят три двадцать два двести шестьдесят,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ РОГАЧЕВ КОНСТАНТИН АНДРЕЕВИЧ
"Самарская область, г. Тольятти, пр-кт. Степана Разина, д. 21",@Heirimias22,1981-irina00@mail.ru,Каргополова Ирина Вячеславовна,плюс семь девятьсот четыре тридцать два сто восемьдесят четыре девяносто один,девять один пять один девять три,девятьсот сорок четыре четыреста семьдесят семь восемьдесят семь сорок девять,один два ноль семь шесть девять ноль один один три,восемнадцать октября две тысячи двадцать четыре года,девятьсот шестьдесят три восемь тысяч шестьсот пятьдесят один восемь тысяч сто четыре,шесть тысяч один девятьсот сорок два тридцать четыреста шестьдесят три девятьсот семьдесят пять,семьдесят один,восемьсот одиннадцать три миллиона семьсот шестьдесят пять тысяч сто сорок три,четыре тире эф че один три ноль пять ноль пять,один семь триста десять сто девяносто,"муниципальное бюджетное дошкольное образовательное учреждение ""Детский сад №176"" общеразвивающего вида"
"обл. Белгородская, г. Старый Оскол, мкр. Макаренко, д. 13",@FOVJoj,1983Chernova@mail.ru,Чернова Елена Васильевна,семь девятьсот пятьдесят два сто девяносто девять шестьдесят два тридцать,девять ноль восемь восемь пять ноль,семьсот восемьдесят восемь шестьсот девяносто восемь сто пятьдесят четыре десять,восемьдесят два четырнадцать семьсот четыре триста семьдесят два,двадцать июля одна тысяча девятьсот восемьдесят года,семь восемь восемь два шесть восемь четыре восемь восемь один два один,четыре тысячи триста один девятьсот девяносто четыре тридцать пять девятьсот девяносто восемь девятьсот шестьдесят один,один,двенадцать один четыреста восемьдесят восемь один пятьдесят один,семь тире и гэ девяносто пять пятьдесят четыре двадцать два,пятьдесят девять шестьдесят пять четыреста шесть сто сорок,"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ""ШЕБЕРТИНСКИЙ ДОМ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ"""
"Респ. Алтай, г. Горно-Алтайск, ул. В.И.Чаптынова, д. 22",@break_time123,1985gagarin@inbox.ru,Балуев Алексей Владимирович,восемь девять восемь девять восемь четыре четыре семь пять три шесть,шестьсот пятьдесят один семьсот сорок три,восемьсот одна тысяча четыреста пятьдесят шестьсот двадцать шесть пятьдесят пять,пятьдесят два два пятьсот девяносто три семьсот восемь,тридцать один декабря одна тысяча девятьсот пятьдесят один года,семь тысяч девятьсот пять четыре тысячи двести три девять тысяч семьдесят пять,восемь шесть ноль два ноль ноль пять один два три один пять пять четыре два два,семьдесят четыре,восемьдесят семь восемнадцать двести семьдесят четыре пятьдесят шесть шестьдесят три,десять тире э че двадцать три пятьдесят шесть три,сто тридцать сто пятьдесят шесть пятьсот пятьдесят пять,"Общество с ограниченной ответственностью ""ТМК Новый Свет"""
"Вологодская область, г. Череповец, пр-кт. Октябрьский, д. 43",@Yulppp,1987ddt@mail.ru,Куприян Ирина Владимировна,плюс семь девять один три два один восемь шесть шесть девять шесть,восемьдесят восемьдесят девять десять,двести девять восемьдесят шесть сто сорок семь шестьдесят два,одиннадцать девяносто девять триста семь пятьсот шестьдесят пять,пять июля одна тысяча девятьсот девяносто семь года,одиннадцать пятьдесят девять сорок девять девяносто семь сорок восемь девять,шестьсот шестьдесят сто девяносто два семьсот четыре семьсот сорок семь пятьдесят два двенадцать,девяносто девять,один ноль ноль семь семь четыре девять четыре три пять шесть,десять тире гэ ша четыреста тридцать шестьсот шесть,четыре семьдесят четыре семьдесят четыре двадцать восемь сорок,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СУНТАРСКАЯ САНАТОРНАЯ ШКОЛА- ИНТЕРНАТ ИМ.ГЕРАСИМОВА М.И."" МУНИЦИПАЛЬНОГО РАЙОНА ""СУНТАРСКИЙ УЛУС (РАЙОН)"" РЕСПУБЛИКИ САХА (ЯКУТИЯ)"
"Приморский край, г. Владивосток, ул. Строительная 3-я, д. 19",@syberx,1989noki@gmail.com,Сергеев Владимир Анатольевич,семь девятьсот девяносто восемь тридцать два тридцать четыре три,пятьдесят четыре двадцать один шестьдесят четыре,четыреста семьдесят пять семьсот восемьдесят четыре пятьсот тридцать четыре сорок восемь,сорок один восемь двадцать один тридцать один семьдесят семь,двадцать один апреля одна тысяча девятьсот пятьдесят три года,два ноль восемь шесть пять пять шесть семь девять пять три восемь,сто два сто один две тысячи семьсот пятьдесят семь три тысячи восемьсот шестьдесят два,один,пять ноль один девять один четыре три два семь три один,три тире эс и шестьдесят тридцать один девятнадцать,тринадцать шестьдесят семь восемьдесят семь восемьдесят пять семьдесят три,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД №2 ""ИВУШКА"" Г. ЮЖНО-СУХОКУМСК"
"Московская область, р-н. Ногинский, п. Елизаветино, ул. Центральная, д. 33",@bagunter,198ds@mail.ru,Антонина Буракова,восемь девятьсот тридцать семь четыреста двадцать двадцать восемь семнадцать,сто восемьдесят пять девяносто восемь,четыре три семь восемь один четыре семь семь семь один восемь,семьдесят шесть девять пятьсот пятьдесят один двести шестнадцать,девять марта одна тысяча девятьсот восемьдесят два года,шестьдесят два двадцать девять пятьдесят четыре пятьдесят шесть десять пятнадцать,семь тысяч триста двадцать один девятьсот семьдесят пять сто двадцать один двести восемьдесят пять двести тридцать один,девяносто четыре,одиннадцать семнадцать триста девяносто восемьдесят восемь восемь,двенадцать тире цэ цэ пятьсот семьдесят один девятьсот пятьдесят два,восемь пять семь девять два семь шесть четыре два восемь,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ЛИСИЧАНСКАЯ СПОРТИВНАЯ ШКОЛА  № 1"""
"Приморский край, р-н. Ханкайский, с. Камень-Рыболов, ул. Трактовая, д. 22",@GutenTagGoethe,19Kashirina.YV@bashgaz.ru,Каширина Юлия Васильевна,семь девятьсот девять девяносто семь восемьсот девяносто пять двадцать два,триста девятнадцать восемьсот шестьдесят шесть,пятьсот тридцать пять семьсот семьдесят тридцать восемь тысяч триста семь,двадцать девять двадцать четыре пятьдесят семь пятьдесят восемь сорок девять,один ноября одна тысяча девятьсот сорок года,четыре тысячи восемьсот пятьдесят три триста девяносто пять девять тысяч четыреста семь,семь пять ноль один девять три девять ноль четыре семь ноль два пять два шесть один,семьдесят семь,девять семь один семь три пять один пять один два четыре,двенадцать тире эм и краткое пятьдесят семнадцать восемьдесят один,семь тысяч четыреста сорок два пятьсот шестьдесят четыре двести сорок девять,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНИЧЕСКИЕ ГАЗЫ - ТРАДИЦИИ КАЧЕСТВА"""
"Ханты-Мансийский Автономный округ - Югра, г. Ханты-Мансийск, ул. Светлая, д. 55-57",@amishbabe,19Sergeyk81@gmail.com,Чабанова Ирина Фёдоровна,семь девятьсот двадцать четыре семьдесят девять четыреста восемьдесят девять шестьдесят четыре,четыре семь шесть шесть семь четыре,пятьсот пятьдесят пять четыреста один семьсот пятьдесят шесть восемьдесят четыре,шестьдесят один двадцать триста двадцать четыреста десять,два шесть один ноль два ноль ноль два,пятьсот пятьдесят семь триста шестьдесят один триста тринадцать восемьсот восемьдесят один,сто сто девяносто восемь шестьсот три сто сорок восемь девяносто девять восемьдесят,семьдесят четыре,шесть шесть ноль четыре один пять семь семь восемь один семь,два тире эр бэ семь восемь четыре ноль пять два,тридцать семь сорок пять семьсот шестьдесят семь двести пятьдесят шесть,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ФИЗКУЛЬТУРНО-ОЗДОРОВИТЕЛЬНЫЙ КОМПЛЕКС ""СПАРТАК"" МАНТУРОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА КОСТРОМСКОЙ ОБЛАСТИ"
"Красноярский край, р-н. Северо-Енисейский, рп. Тея, ул. Школьная, д. 3, стр. А",@cockbutterhotporn,19am84@mail.ru,Варламов Сергей Владимирович,восемь девять шесть девять пять пять восемь два шесть шесть семь,два два шесть шесть ноль восемь,шестьсот тридцать три девятьсот сорок четыре семьдесят девять десять,шесть тысяч четыре четыреста двадцать восемь девятьсот тридцать девять,семнадцать июля одна тысяча девятьсот пятьдесят три года,одна тысяча четыреста девяносто пять восемь тысяч сто семьдесят два две тысячи двести девяносто,девяносто сто девяносто семь четыреста шесть пятьсот сорок пять десять восемьдесят девять,семьдесят девять,два восемь два ноль девять пять ноль один девять семь один,одиннадцать тире жэ э шесть пять два семь семь шесть,пять ноль два семь пять два ноль ноль ноль четыре,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦЭМАЛЬ"""
"Новосибирская область, г. Новосибирск, ул. Победителей, д. 7",@PamsPartner,19borovaya73@mail.ru,БОРОВОЙ АЛЕКСАНДР НИКОЛАЕВИЧ,плюс семь девятьсот шесть пятьсот восемьдесят три двадцать один тринадцать,пятьдесят пять семьдесят два девяносто девять,восемьсот сорок тысяч восемьсот сорок четыре двести двадцать пять один,восемьдесят пять девяносто девять пятьсот восемь семьсот семьдесят девять,тридцать октября одна тысяча девятьсот пятьдесят три года,семьдесят пять тридцать шесть семнадцать пятьдесят девять семьдесят шестьдесят два,пятьсот девяносто сто девяносто семь двести шесть сто восемнадцать двадцать пять тридцать шесть,двенадцать,семь четыре один девять пять четыре пять семь семь один четыре,два тире у а шестьдесят восемь три семьдесят четыре,шесть восемь пять два пять четыре два восемь один восемь,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТУДИЯ КРАСОТЫ КСЕНИИ ХМЕЛЕВСКОЙ"""
"Московская область, р-н. Пушкинский, п. Зеленоградский, ул. Островского, д. 14",@dont_click_popups,19fadina59@mail.ru,Фадина Галина Анатольевна,плюс семь девять три ноль восемь пять пять шесть один четыре ноль,три девять ноль четыре семь пять,восемьсот три тысячи девятьсот тридцать пять триста двадцать один девяносто пять,две тысячи девятьсот пятнадцать восемьсот сорок один девяносто один,семнадцать ноября одна тысяча девятьсот сорок семь года,семь тысяч триста сорок семь девять тысяч шестьсот тридцать восемь три тысячи семьсот пятнадцать,пять два два два ноль ноль три ноль девять два девять два четыре восемь шесть четыре,тринадцать,две тысячи шестьсот тринадцать девять миллионов двести пятьдесят одна тысяча шестьсот пятьдесят семь,восемь тире я че три восемь семь четыре девять восемь,пятьдесят два сорок пятьдесят пять три пятьдесят шесть,АДМИНИСТРАЦИЯ НОВОЧЕМРОВСКОГО СЕЛЬСОВЕТА ЗОНАЛЬНОГО РАЙОНА АЛТАЙСКОГО КРАЯ
"Иркутская область, г. Иркутск, ул. Баррикад, д. 145, к. 12",@halfofzeno,19kashirina.yv@bashgaz.ru,Каширина Юлия Васильевна,плюс семь девятьсот восемьдесят два триста два пять шестьдесят четыре,двадцать пять семьдесят семь двадцать девять,четыре два три три девять три шесть девять один восемь четыре,восемьдесят два двадцать шесть пятьдесят восемь шестьсот девяносто четыре,семь июля одна тысяча девятьсот семьдесят четыре года,восемь один четыре восемь три ноль шесть два девять три шесть девять,семьсот сто девяносто шесть сто десять пятьсот шестьдесят шестьдесят три тридцать один,восемнадцать,один шесть ноль девять девять ноль девять девять четыре ноль семь,три тире ка цэ двести три шестьсот девятнадцать,сорок семь восемьдесят девять шестьдесят восемь пятьсот шестьдесят пять,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМЪ ХОРОШАВИНА АНДРЕЯ ВАСИЛЬЕВИЧА"""
"Московская область, г. Электросталь, ш. Фрязевское, д. 108",@arfat11,19katrina@mail.ru,Нормова Л.Г.,восемь девятьсот восемьдесят шесть тридцать девять восемьдесят девять шестнадцать,восемьдесят девять девяносто пять семьдесят два,двести сорок пять девятьсот шестьдесят пять пятьдесят одна тысяча пятьсот девять,пять восемнадцать девяносто три пятьдесят три двадцать семь,один ноль ноль один два ноль ноль девять,девяносто пять восемьдесят восемь тридцать девять восемьдесят пять два шестьдесят четыре,шестьсот один девятьсот пятьдесят пять двадцать пять двести сорок семь триста сорок пять,шестьдесят,три ноль ноль семь два девять пять три пять четыре два,десять тире и краткое цэ семьдесят пять тридцать четыре девяносто семь,пятьдесят четыре тридцать пять девяносто пять семьдесят шесть пятьдесят четыре,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОМОСТ-УЛЬЯНОВСК"""
"Ханты-Мансийский Автономный округ - Югра, г. Радужный, мкр. 1-й, д. 15",@sleepsonfloor,19nk@mail.ru,Малюшко Юлия Андреевна,плюс семь девятьсот шестьдесят три восемьсот девяносто семь пятнадцать девяносто шесть,восемьдесят шесть девяносто пять семь,сто девяносто четыре двести пятьдесят девять восемьдесят шесть тысяч шестьсот двадцать два,девять тысяч двести семь сорок семь двадцать шесть,двадцать пять мая одна тысяча девятьсот шестьдесят четыре года,семьдесят три четыре тридцать семь тридцать шесть девяносто девять восемьдесят два,пять тысяч семьсот два двадцать двадцать триста шестьдесят пять девятьсот четырнадцать,семнадцать,ноль пять два два четыре три три девять один семь один,три тире тэ а три восемь девять два шесть семь,восемь два два шесть девять пять семь девять два один,"ЧИШМИНСКОЕ ДРСУ-ФИЛИАЛ АО ""БАШКИРАВТОДОР"""
"Московская область, мкр. Павельцево, ул. Нефтяников, д. 9",@marciemarc425,19ogptu@mail.ru,группа кадров,плюс семь девятьсот шестьдесят четыре шестьдесят четыре семьсот двадцать шесть восемьдесят семь,шестьсот сорок шесть триста три,три четыре пять четыре три ноль восемь ноль пять шесть один,восемь тысяч шесть триста девяносто три четыреста четыре,один три один два один девять восемь три,двести двадцать один двенадцать шестьсот восемьдесят восемь четыреста тридцать,шестьсот десять сто девяносто восемь восемьсот два тридцать пятьдесят девять двадцать,шестьдесят шесть,пять тысяч двадцать три шесть миллионов девятьсот девятнадцать тысяч двести сорок один,десять тире ка у один ноль два восемь девять один,сорок один шестьдесят восемь двадцать два семь пятьдесят восемь,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАССВЕТ"""
"Забайкальский край, г. Чита, б-р. Украинский, д. 22",@f43qg343hqg48hj348,19otriad@ppsrk.ru,Зайдер Адольф Эргартович,восемь девятьсот сорок четыре семьдесят семь сто сорок четыре семьдесят один,шестьдесят три семьдесят четыре двадцать семь,восемьсот девяносто три шестьсот сорок семь шестьсот пятьдесят три семьдесят восемь,семьдесят пять десять двадцать шестьдесят восемьдесят семь,двадцать семь апреля две тысячи семь года,пятьсот сорок три восемьсот сорок два пятьсот семьдесят девять пятьсот пятьдесят два,триста двадцать двести один семьсот четыре семьсот пятьдесят пять ноль шестнадцать,двадцать семь,шестьдесят шесть четырнадцать триста двадцать семь пятьдесят пять семьдесят девять,один тире вэ жэ четыре шесть два три четыре шесть,шесть тысяч двести пятьдесят восемьсот шесть четыреста семьдесят шесть,"Общество с ограниченной ответственностью ""Стройкоминвест"""
"Тульская область, г. Тула, проезд. 1-й Южный, д. 1б",@letshavesomefun222,19potexino93@mail.ru,Перов Виктор Валентинович,восемь девятьсот двадцать три восемьсот девяносто два сорок восемьдесят девять,семьдесят три семьдесят один девятнадцать,пять шесть ноль семь семь пять девять четыре два два пять,восемь семь один два два ноль три один три девять,ноль четыре ноль три два ноль ноль три,сорок один восемьдесят один восемьдесят восемь тридцать девять шестнадцать четыре,ноль восемь ноль один девять пять ноль ноль восемь пять шесть семь девять пять девять восемь,тридцать восемь,один тринадцать семьсот шестьдесят пять шестьдесят один пятьдесят шесть,шесть тире жэ и пять четыре три семь семь шесть,двадцать семь восемьдесят четыре тридцать четыре шестнадцать семьдесят восемь,"Общество с ограниченной ответственностью ""Клиника новых технологий"""
